timestamp,step,joint1,joint2,joint3,joint4,joint5,joint6,force_local_x,force_local_y,force_local_z,torque_local_x,torque_local_y,torque_local_z,force_world_x,force_world_y,force_world_z,torque_world_x,torque_world_y,torque_world_z,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_timestamp
1755106935.2842822,initial,0.0,0.0,0.0,0.0,0.0,0.0,-5.808703700649881e-05,-1.8982547248746806e-11,7.906859999786634,1.4236910436560104e-12,-4.35652777548741e-06,0.0,0.0,0.0,-7.906860000000001,4.356527775487643e-06,0.0,0.0,14535.8,14379.6,14090.4,14086.8,14395.0,14439.8,14474.0,14443.0,14246.0,14259.0,14172.2,14218.2,14200.0,14105.6,14371.4,14221.4,1755106935.28084
1755106935.787793,j5_to_-pi/2,0.0,0.0,0.0,0.0,-0.1,0.0,-5.819990209956732e-05,0.7893688487238371,7.8673586340573785,-0.0592026636542877,-4.364992657467548e-06,5.293955920339377e-22,0.0,0.0,-7.906860000000001,4.34564552912363e-06,0.05920266365571101,0.0,14536.2,14379.6,14090.4,14086.6,14395.0,14440.4,14474.2,14443.4,14244.4,14258.2,14170.6,14216.8,14198.8,14105.0,14371.0,14220.8,1755106935.757919
1755106936.2913878,j5_to_-pi/2,0.0,0.0,0.0,0.0,-0.2,0.0,-5.802144624556044e-05,1.570850584860763,7.74924922145856,-0.11781379386455733,-4.351608468417033e-06,-1.0587911840678754e-21,0.0,0.0,-7.906860000000001,4.313107521840067e-06,0.11781379386597315,0.0,14537.2,14379.2,14089.8,14087.0,14395.6,14440.8,14475.2,14443.6,14243.4,14257.6,14170.2,14216.4,14198.6,14104.2,14370.2,14220.2,1755106936.2778208
1755106936.79284,j5_to_-pi/2,0.0,0.0,0.0,0.0,-0.30000000000000004,0.0,-5.755345251638178e-05,2.3366369012078323,7.553711872199087,-0.17524776759058733,-4.316508938728634e-06,6.352747104407253e-22,0.0,0.0,-7.906860000000001,4.259238862650097e-06,0.17524776759198862,0.0,14536.2,14378.2,14088.6,14085.2,14395.4,14440.4,14475.0,14443.4,14242.4,14255.6,14169.0,14215.6,14197.0,14103.4,14369.0,14218.4,1755106936.75459
1755106937.297127,j5_to_-pi/2,0.0,0.0,0.0,0.0,-0.4,0.0,-5.680059695067512e-05,3.0790763140274064,7.2827003308367075,-0.2309307235520555,-4.260044771300634e-06,0.0,0.0,0.0,-7.906860000000001,4.1845777893897355e-06,0.23093072355343536,0.0,14535.8,14377.4,14087.4,14084.6,14395.4,14441.2,14475.2,14443.6,14241.6,14255.6,14168.4,14214.6,14197.2,14103.0,14368.2,14218.0,1755106937.280837
1755106937.802801,j5_to_-pi/2,0.0,0.0,0.0,0.0,-0.5,0.0,-5.577040183239204e-05,3.7907506141244323,6.938922455108207,-0.2843062960593321,-4.182780137429402e-06,1.2705494208814505e-21,0.0,0.0,-7.906860000000001,4.089870290823328e-06,0.2843062960606839,0.0,14535.2,14376.6,14086.2,14084.0,14395.4,14440.8,14475.2,14443.6,14240.6,14253.6,14166.6,14214.2,14195.8,14102.0,14367.2,14216.2,1755106937.7538261
1755106938.308107,j5_to_-pi/2,0.0,0.0,0.0,0.0,-0.6,0.0,-5.4473160530617165e-05,4.464548987140588,6.5258131599100055,-0.33484117403554386,-4.085487039796287e-06,8.470329472543003e-22,0.0,0.0,-7.906860000000001,3.976062652970415e-06,0.33484117403686114,0.0,14535.6,14376.8,14085.8,14084.2,14395.6,14441.8,14475.6,14444.0,14240.4,14253.6,14166.4,14213.4,14195.4,14101.6,14367.0,14215.6,1755106938.283767
1755106938.810591,j5_to_-pi/2,0.0,0.0,0.0,0.0,-0.7,0.0,-5.292183465162692e-05,5.0937390624608225,6.047500096763951,-0.3820304296845615,-3.969137598872018e-06,1.2705494208814505e-21,0.0,0.0,-7.906860000000001,3.844292004128619e-06,0.3820304296858383,0.0,14534.6,14375.0,14083.4,14082.0,14394.8,14440.6,14474.8,14443.0,14239.0,14251.4,14165.0,14211.8,14193.6,14100.0,14364.8,14213.2,1755106938.802857
1755106939.31164,j5_to_-pi/2,0.0,0.0,0.0,0.0,-0.7999999999999999,0.0,-5.1131924530803974e-05,5.672034180835128,5.508762411687719,-0.42540256356263445,-3.834894339810297e-06,4.235164736271502e-22,0.0,0.0,-7.906860000000001,3.695874953063583e-06,0.425402563563865,0.0,14534.2,14374.8,14083.2,14081.6,14394.8,14440.8,14475.2,14443.2,14238.8,14251.0,14164.4,14211.8,14193.2,14100.0,14364.0,14213.0,1755106939.276173
1755106939.814371,j5_to_-pi/2,0.0,0.0,0.0,0.0,-0.8999999999999999,0.0,-4.912131435840998e-05,6.1936562085996565,4.9149829935475875,-0.46452421564497426,-3.6840985768807486e-06,-4.235164736271502e-22,0.0,0.0,-7.906860000000001,3.5322944338893927e-06,0.4645242156461535,0.0,14533.8,14374.2,14081.6,14080.8,14394.8,14440.8,14475.0,14443.0,14237.8,14250.0,14163.2,14211.0,14192.8,14099.0,14363.2,14212.0,1755106939.811413
